question_id,question_domain,question_type,average_answer_score,average_rationale_score,wA,wR,Final Score,Explanation Code
1,Data Structures and Algorithms,OE,2.0,1.5,1.0,0.75,66.25,"E0, E3"
2,Data Structures and Algorithms,OE,1.0,0.5,0.5,0.25,16.25,"E1, E3"
3,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
4,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
5,Data Structures and Algorithms,OE,0.5,1.0,0.25,0.5,16.25,E1
6,Data Structures and Algorithms,OE,1.0,0.5,0.5,0.25,16.25,E3
7,Data Structures and Algorithms,OE,1.0,0.5,0.5,0.25,16.25,E1
8,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
9,Data Structures and Algorithms,TF,2.0,1.0,1.0,0.5,32.5,E1
10,Data Structures and Algorithms,TF,2.0,1.5,1.0,0.75,66.25,"E0, E3"
11,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
12,Data Structures and Algorithms,TF,0.0,0.5,0.0,0.25,0.0,E1
13,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,"E1, E3"
14,Data Structures and Algorithms,OE,0.5,0.5,0.25,0.25,25.0,E1
15,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E1
16,Data Structures and Algorithms,OE,2.0,1.5,1.0,0.75,66.25,"E0, E3"
17,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
18,Data Structures and Algorithms,FB,0.0,0.5,0.0,0.25,0.0,"E1, E3"
19,Data Structures and Algorithms,OE,0.0,0.5,0.0,0.25,0.0,E1
20,Data Structures and Algorithms,OE,0.0,0.5,0.0,0.25,0.0,"E1, E3"
21,Data Structures and Algorithms,OE,0.5,1.0,0.25,0.5,16.25,E3
22,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
23,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
24,Data Structures and Algorithms,OE,1.5,1.0,0.75,0.5,41.25,E3
25,Data Structures and Algorithms,OE,1.0,0.5,0.5,0.25,16.25,E3
26,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
27,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,E1
28,Data Structures and Algorithms,OE,2.0,1.5,1.0,0.75,66.25,"E0, E3"
29,Computer Systems and Architecture,MC,0.0,0.5,0.0,0.25,0.0,E1
30,Computer Systems and Architecture,MC,0.0,0.0,0.0,0.0,0.0,"E1, E2"
31,Data Structures and Algorithms,FB,0.0,0.5,0.0,0.25,0.0,E1
32,Computer Systems and Architecture,MC,2.0,1.5,1.0,0.75,66.25,"E0, E3"
33,Data Structures and Algorithms,FB,0.0,0.0,0.0,0.0,0.0,E1
34,Data Structures and Algorithms,OE,0.0,0.5,0.0,0.25,0.0,"E1, E3"
35,Data Structures and Algorithms,FB,0.0,0.5,0.0,0.25,0.0,"E1, E3"
