question_id,question_domain,question_type,answer_score,rationale_score,wA,wR,Final Score,Explanation Code
1,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
2,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
3,Data Structures and Algorithms,OE,1.0,2.0,0.5,1.0,32.5,E0
4,Data Structures and Algorithms,OE,2.0,1.0,1.0,0.5,32.5,E3
5,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
6,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
7,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
8,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
9,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
10,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
11,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
12,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
13,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
14,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
15,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
16,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
17,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
18,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
19,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
20,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
21,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
22,Data Structures and Algorithms,OE,1.0,2.0,0.5,1.0,32.5,E0
23,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
24,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
25,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
26,Data Structures and Algorithms,OE,2.0,1.0,1.0,0.5,32.5,E3
27,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
28,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
29,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
30,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
31,Data Structures and Algorithms,FB,0.0,1.0,0.0,0.5,0.0,E3
32,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
33,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
34,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
35,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
36,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
37,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
38,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E3
39,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E3
40,Data Structures and Algorithms,MS,0.0,2.0,0.0,1.0,0.0,E0
41,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E3
42,Data Structures and Algorithms,MS,2.0,1.0,1.0,0.5,32.5,E3
43,Data Structures and Algorithms,MS,1.0,1.0,0.5,0.5,50.0,E3
44,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
45,Data Structures and Algorithms,MS,2.0,2.0,1.0,1.0,100.0,E0
46,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
47,Computer Systems and Architecture,TF,2.0,2.0,1.0,1.0,100.0,E0
48,Computer Systems and Architecture,FB,1.0,2.0,0.5,1.0,32.5,E0
49,Computer Systems and Architecture,TF,0.0,1.0,0.0,0.5,0.0,E1
50,Computer Systems and Architecture,FB,1.0,1.0,0.5,0.5,50.0,E1
51,Computer Systems and Architecture,FB,1.0,1.0,0.5,0.5,50.0,E1
52,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
53,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
54,Data Structures and Algorithms,OE,2.0,1.0,1.0,0.5,32.5,E3
55,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
56,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
57,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
58,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
59,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
60,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
61,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
62,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
63,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
64,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
65,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
66,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
67,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
68,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
69,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E3
70,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
71,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
72,Data Structures and Algorithms,FB,0.0,1.0,0.0,0.5,0.0,E3
73,Data Structures and Algorithms,MC,0.0,2.0,0.0,1.0,0.0,E0
74,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
75,Data Structures and Algorithms,MS,2.0,2.0,1.0,1.0,100.0,E0
76,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E3
77,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
78,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
79,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E3
80,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E3
81,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
82,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
83,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
84,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E3
85,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
86,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E3
87,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
88,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E3
89,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
90,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E3
91,Data Structures and Algorithms,MS,2.0,1.0,1.0,0.5,32.5,E3
92,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
93,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
94,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
95,Databases and Information Systems,OE,1.0,2.0,0.5,1.0,32.5,E0
96,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
97,Databases and Information Systems,FB,2.0,2.0,1.0,1.0,100.0,E0
98,Databases and Information Systems,FB,2.0,2.0,1.0,1.0,100.0,E0
99,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
100,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
101,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
102,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
103,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
104,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
105,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
106,Databases and Information Systems,TF,2.0,2.0,1.0,1.0,100.0,E0
107,Databases and Information Systems,TF,2.0,2.0,1.0,1.0,100.0,E0
108,Databases and Information Systems,TF,2.0,1.0,1.0,0.5,32.5,E3
109,Databases and Information Systems,TF,0.0,1.0,0.0,0.5,0.0,E3
110,Databases and Information Systems,TF,2.0,2.0,1.0,1.0,100.0,E0
111,Databases and Information Systems,TF,0.0,1.0,0.0,0.5,0.0,E1
112,Databases and Information Systems,TF,2.0,2.0,1.0,1.0,100.0,E0
113,Databases and Information Systems,TF,0.0,1.0,0.0,0.5,0.0,E1
114,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
115,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
116,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
117,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
118,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
119,Software Engineering and AI Fundamentals,OE,1.0,1.0,0.5,0.5,50.0,E3
120,Software Engineering and AI Fundamentals,OE,1.0,2.0,0.5,1.0,32.5,E0
121,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
122,Software Engineering and AI Fundamentals,OE,1.0,2.0,0.5,1.0,32.5,E0
123,Software Engineering and AI Fundamentals,OE,1.0,2.0,0.5,1.0,32.5,E0
124,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
125,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
126,Software Engineering and AI Fundamentals,MC,0.0,2.0,0.0,1.0,0.0,E0
127,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
128,Software Engineering and AI Fundamentals,MS,0.0,2.0,0.0,1.0,0.0,E0
129,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
130,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
131,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
132,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
133,Software Engineering and AI Fundamentals,FB,1.0,2.0,0.5,1.0,32.5,E0
134,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
135,Software Engineering and AI Fundamentals,MS,0.0,2.0,0.0,1.0,0.0,E0
136,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
137,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
138,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
139,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
140,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
141,Software Engineering and AI Fundamentals,OE,1.0,1.0,0.5,0.5,50.0,E1
142,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
143,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
144,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
145,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
146,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
147,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
148,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
149,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
150,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
151,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
152,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
153,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
154,Software Engineering and AI Fundamentals,MC,0.0,1.0,0.0,0.5,0.0,E1
155,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
156,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
157,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
158,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
159,Software Engineering and AI Fundamentals,MC,0.0,1.0,0.0,0.5,0.0,E3
160,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
161,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
162,Software Engineering and AI Fundamentals,OE,1.0,2.0,0.5,1.0,32.5,E0
163,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
164,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
165,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
166,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
167,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
168,Computer Systems and Architecture,TF,2.0,2.0,1.0,1.0,100.0,E0
169,Computer Systems and Architecture,TF,2.0,2.0,1.0,1.0,100.0,E0
170,Computer Systems and Architecture,TF,2.0,2.0,1.0,1.0,100.0,E0
171,Computer Systems and Architecture,TF,0.0,1.0,0.0,0.5,0.0,E1
172,Computer Systems and Architecture,TF,2.0,2.0,1.0,1.0,100.0,E0
173,Computer Systems and Architecture,TF,2.0,2.0,1.0,1.0,100.0,E0
174,Computer Systems and Architecture,TF,2.0,2.0,1.0,1.0,100.0,E0
175,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
176,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
177,Data Structures and Algorithms,TF,0.0,1.0,0.0,0.5,0.0,E1
178,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
179,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
180,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
181,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
182,Computer Systems and Architecture,MS,0.0,1.0,0.0,0.5,0.0,E3
183,Computer Systems and Architecture,MS,2.0,1.0,1.0,0.5,32.5,E1
184,Computer Systems and Architecture,FB,1.0,2.0,0.5,1.0,32.5,E0
185,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
186,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
187,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
188,Computer Systems and Architecture,FB,1.0,2.0,0.5,1.0,32.5,E0
189,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
190,Computer Systems and Architecture,FB,0.0,1.0,0.0,0.5,0.0,E3
191,Computer Systems and Architecture,FB,0.0,0.0,0.0,0.0,0.0,E2
192,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
193,Data Structures and Algorithms,TF,2.0,1.0,1.0,0.5,32.5,E3
194,Databases and Information Systems,MS,0.0,1.0,0.0,0.5,0.0,E3
195,Databases and Information Systems,MS,0.0,1.0,0.0,0.5,0.0,E3
196,Databases and Information Systems,MS,2.0,2.0,1.0,1.0,100.0,E0
197,Computer Systems and Architecture,FB,0.0,1.0,0.0,0.5,0.0,E1
198,Computer Systems and Architecture,MS,0.0,2.0,0.0,1.0,0.0,E0
199,Computer Systems and Architecture,MS,0.0,1.0,0.0,0.5,0.0,E1
200,Databases and Information Systems,FB,0.0,1.0,0.0,0.5,0.0,E1
201,Databases and Information Systems,FB,2.0,2.0,1.0,1.0,100.0,E0
202,Databases and Information Systems,MS,2.0,2.0,1.0,1.0,100.0,E0
203,Databases and Information Systems,MS,0.0,2.0,0.0,1.0,0.0,E0
204,Databases and Information Systems,FB,0.0,1.0,0.0,0.5,0.0,E3
205,Databases and Information Systems,MC,2.0,2.0,1.0,1.0,100.0,E0
206,Databases and Information Systems,FB,2.0,2.0,1.0,1.0,100.0,E0
207,Databases and Information Systems,TF,2.0,1.0,1.0,0.5,32.5,E1
208,Databases and Information Systems,TF,2.0,2.0,1.0,1.0,100.0,E0
209,Databases and Information Systems,TF,2.0,1.0,1.0,0.5,32.5,E3
210,Databases and Information Systems,FB,2.0,1.0,1.0,0.5,32.5,E1
211,Databases and Information Systems,FB,0.0,1.0,0.0,0.5,0.0,E3
212,Databases and Information Systems,MS,2.0,2.0,1.0,1.0,100.0,E0
213,Databases and Information Systems,MS,2.0,2.0,1.0,1.0,100.0,E0
214,Databases and Information Systems,MS,2.0,2.0,1.0,1.0,100.0,E0
215,Databases and Information Systems,FB,2.0,2.0,1.0,1.0,100.0,E0
216,Databases and Information Systems,FB,2.0,1.0,1.0,0.5,32.5,E3
217,Databases and Information Systems,FB,2.0,2.0,1.0,1.0,100.0,E0
218,Databases and Information Systems,FB,2.0,1.0,1.0,0.5,32.5,E1
219,Databases and Information Systems,FB,0.0,1.0,0.0,0.5,0.0,E3
220,Data Structures and Algorithms,MS,2.0,1.0,1.0,0.5,32.5,E3
221,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E1
222,Data Structures and Algorithms,MS,0.0,2.0,0.0,1.0,0.0,E0
223,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
224,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
225,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
226,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E3
227,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E1
228,Data Structures and Algorithms,FB,2.0,1.0,1.0,0.5,32.5,E1
229,Data Structures and Algorithms,FB,1.0,2.0,0.5,1.0,32.5,E0
230,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
231,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
232,Data Structures and Algorithms,MS,2.0,2.0,1.0,1.0,100.0,E0
233,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
234,Data Structures and Algorithms,MS,2.0,2.0,1.0,1.0,100.0,E0
235,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E1
236,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
237,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
238,Computer Systems and Architecture,MS,0.0,2.0,0.0,1.0,0.0,E0
239,Computer Systems and Architecture,MS,2.0,2.0,1.0,1.0,100.0,E0
240,Computer Systems and Architecture,MS,0.0,2.0,0.0,1.0,0.0,E0
241,Computer Systems and Architecture,MS,1.0,2.0,0.5,1.0,32.5,E0
242,Computer Systems and Architecture,MS,0.0,2.0,0.0,1.0,0.0,E0
