question_id,question_domain,question_type,average_answer_score,average_rationale_score,wA,wR,Final Score,Explanation Code
1,Computer Organization and Architecture,MC,0.0,0.0,0.0,0.0,0.0,"E1, E2"
2,Database Systems & Information Systems,MS,2.0,2.0,1.0,1.0,100.0,E0
3,Data Structures & Algorithms,TF,2.0,1.0,1.0,0.5,50.0,E3
4,Software Engineering & AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
5,Computer Security,OE,1.5,1.0,0.75,0.5,50.0,E5
6,Computer Organization and Architecture,MC,0.0,0.0,0.0,0.0,0.0,"E1, E2"
7,Database Systems & Information Systems,TF,2.0,2.0,1.0,1.0,100.0,E0
8,Data Structures & Algorithms,FB,1.0,1.0,0.5,0.5,50.0,E3
9,Software Engineering & AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
10,Computer Security,MC,2.0,0.5,1.0,0.25,25.0,"E1, E7"
11,Computer Organization and Architecture,FB,0.5,0.0,0.25,0.0,0.0,"E1, E2"
12,Database Systems & Information Systems,OE,1.0,0.5,0.5,0.25,25.0,"E1, E3"
13,Data Structures & Algorithms,MS,2.0,2.0,1.0,1.0,100.0,E0
14,Software Engineering & AI Fundamentals,TF,2.0,2.0,1.0,1.0,100.0,E0
15,Computer Security,FB,1.0,1.0,0.5,0.5,50.0,E3
