question_id,question_domain,question_type,answer_score,rationale_score,wA,wR,Final Score,Explanation Code
1,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
2,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
3,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
4,Data Structures and Algorithms,OE,0.0,1.0,0.0,0.5,0.0,E9
5,Data Structures and Algorithms,OE,2.0,1.0,1.0,0.5,32.5,E3
6,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
7,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
8,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
9,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
10,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
11,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
12,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
13,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
14,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
15,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
16,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
17,Data Structures and Algorithms,OE,2.0,1.0,1.0,0.5,32.5,E3
18,Data Structures and Algorithms,FB,1.0,2.0,0.5,1.0,32.5,E0
19,Data Structures and Algorithms,OE,0.0,1.0,0.0,0.5,0.0,E9
20,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
21,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
22,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
23,Data Structures and Algorithms,OE,0.0,0.0,0.0,0.0,0.0,E1
24,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
25,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
26,Data Structures and Algorithms,OE,1.0,2.0,0.5,1.0,32.5,E0
27,Data Structures and Algorithms,MC,0.0,0.0,0.0,0.0,0.0,E1
28,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
29,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
30,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
31,Data Structures and Algorithms,FB,0.0,0.0,0.0,0.0,0.0,E1
32,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
33,Data Structures and Algorithms,FB,0.0,1.0,0.0,0.5,0.0,E3
34,Data Structures and Algorithms,OE,0.0,1.0,0.0,0.5,0.0,E1
35,Data Structures and Algorithms,FB,2.0,1.0,1.0,0.5,32.5,E3
36,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
37,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
38,Data Structures and Algorithms,MS,2.0,2.0,1.0,1.0,100.0,E0
39,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E1
40,Data Structures and Algorithms,MS,0.0,0.0,0.0,0.0,0.0,E2
41,Data Structures and Algorithms,MS,1.0,1.0,0.5,0.5,50.0,E1
42,Data Structures and Algorithms,MS,1.0,1.0,0.5,0.5,50.0,E1
43,Data Structures and Algorithms,MS,0.0,0.0,0.0,0.0,0.0,E1
44,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
45,Data Structures and Algorithms,MS,2.0,2.0,1.0,1.0,100.0,E0
46,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
47,Computer Systems and Architecture,TF,2.0,2.0,1.0,1.0,100.0,E0
48,Computer Systems and Architecture,FB,2.0,1.0,1.0,0.5,32.5,E1
49,Computer Systems and Architecture,TF,2.0,1.0,1.0,0.5,32.5,E3
50,Computer Systems and Architecture,FB,1.0,1.0,0.5,0.5,50.0,E3
51,Computer Systems and Architecture,FB,2.0,1.0,1.0,0.5,32.5,E9
52,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
53,Data Structures and Algorithms,OE,1.0,2.0,0.5,1.0,32.5,E0
54,Data Structures and Algorithms,OE,2.0,1.0,1.0,0.5,32.5,E1
55,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
56,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
57,Data Structures and Algorithms,TF,2.0,1.0,1.0,0.5,32.5,E7
58,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
59,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
60,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
61,Data Structures and Algorithms,MC,0.0,0.0,0.0,0.0,0.0,E1
62,Data Structures and Algorithms,MC,0.0,0.0,0.0,0.0,0.0,E1
63,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
64,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
65,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
66,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E1
67,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
68,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
69,Data Structures and Algorithms,MC,0.0,0.0,0.0,0.0,0.0,E1
70,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E3
71,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E3
72,Data Structures and Algorithms,FB,0.0,0.0,0.0,0.0,0.0,E1
73,Data Structures and Algorithms,MC,0.0,0.0,0.0,0.0,0.0,E1
74,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E1
75,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E1
76,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E1
77,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
78,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E1
79,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E1
80,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E5
81,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
82,Data Structures and Algorithms,FB,0.0,1.0,0.0,0.5,0.0,E3
83,Data Structures and Algorithms,MC,0.0,0.0,0.0,0.0,0.0,E1
84,Data Structures and Algorithms,MC,0.0,0.0,0.0,0.0,0.0,E1
85,Data Structures and Algorithms,MC,0.0,0.0,0.0,0.0,0.0,E1
86,Data Structures and Algorithms,MC,0.0,0.0,0.0,0.0,0.0,E7
87,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
88,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E1
89,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
90,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E8
91,Data Structures and Algorithms,MS,0.0,0.0,0.0,0.0,0.0,E1
92,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
93,Data Structures and Algorithms,OE,2.0,1.0,1.0,0.5,32.5,E3
94,Data Structures and Algorithms,OE,2.0,2.0,1.0,1.0,100.0,E0
95,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
96,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
97,Databases and Information Systems,FB,2.0,1.0,1.0,0.5,32.5,E8
98,Databases and Information Systems,FB,2.0,2.0,1.0,1.0,100.0,E0
99,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
100,Databases and Information Systems,OE,1.0,2.0,0.5,1.0,32.5,E0
